dataset,experiment,run_name,seed,missing_metrics,missing_diagnostics,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_judge_align_count,max_abs_alpha_llm_rejected
yelpchi,E0,phase2_E0_relgate,42,False,False,0.5426281918051628,0.8590637550242074,0.7199865129299403,0.7218805270462615,1.5306679010391235,0.0,,0.0,0.006312415935099125,0.8206379413604736,,0.0
yelpchi,E0,phase2_E0_relgate,123,False,False,0.583992085178587,0.8708046650658215,0.7350268175551459,0.7139362064763873,1.4451227188110352,0.0,,0.0,0.002061315346509218,0.5144955515861511,,0.0
yelpchi,E0,phase2_E0_relgate,456,False,False,0.5712533143724305,0.8641029217344233,0.726153682294638,0.7170455572533053,1.5860342979431152,0.0,,0.0,0.008216861635446548,1.056966781616211,,0.0
yelpchi,E0,phase2_E0_relgate,789,False,False,0.5700118897868008,0.8693278782871474,0.7286886881693393,0.711229879658814,1.4684046506881714,0.0,,0.0,0.0034481550101190805,0.6185197830200195,,0.0
yelpchi,E0,phase2_E0_relgate,2026,False,False,0.5665565240549728,0.8691520016844881,0.7296954121848943,0.6910570487107347,1.4261040687561035,0.0,,0.0,0.0030494416132569313,0.5943008661270142,,0.0
yelpchi,E1,phase2_E1_judge_align,42,False,False,0.5443678379283687,0.8605366217837583,0.7225086910514431,0.7190202621282908,1.4444475173950195,0.0,0.0,0.0,0.3560456931591034,0.6728640198707581,,0.0
yelpchi,E1,phase2_E1_judge_align,123,False,False,0.5839437981381835,0.8713477843110636,0.7352810470561,0.7054901618266786,1.4215409755706787,0.0,0.0,0.0,0.3778637945652008,0.5944347381591797,,0.0
yelpchi,E1,phase2_E1_judge_align,456,False,False,0.5711751010135014,0.864777713111363,0.7265722475490596,0.7175693578694321,1.5096101760864258,0.0,0.0,0.0,0.20545512437820435,0.8459942936897278,,0.0
yelpchi,E1,phase2_E1_judge_align,789,False,False,0.5714114633821311,0.871045895178784,0.7271934784512344,0.6886123438000141,1.4776949882507324,0.0,0.0,0.0,0.23756946623325348,0.636726975440979,,0.0
yelpchi,E1,phase2_E1_judge_align,2026,False,False,0.5664868549985049,0.8681493465804719,0.7274472892403994,0.6844979285401154,1.5088900327682495,0.0,0.0,0.0,0.19564348459243774,0.7742871642112732,,0.0
yelpchi,E2,phase2_E2_judge_residual,42,False,False,0.5443561694977139,0.8605131850736825,0.7225870616031678,0.7192293257878113,1.4472919702529907,8.163543679984286e-05,0.0961916595697403,0.0,0.35531777143478394,0.6728611588478088,,0.0
