seed,relation,gate_mean,gate_std,gate_open_rate,contribution_norm_mean,gate_vs_near_cap_corr,gate_vs_abs_residual_corr,diagnostic_type,dataset,method,run_name,label,count,base_status
42,UPU,0.9737887978553772,0.09168601036071777,0.9907066226005554,2.9506146907806396,0.0036921235732734203,0.0014647804200649261,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
42,USU,0.5857474207878113,0.1799270361661911,0.5824682116508484,0.9645224809646606,0.0014906850410625339,-0.0027403838466852903,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
42,UVU,1.0,0.0,1.0,2.717961311340332,0.0,0.0,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
42,UPU,0.9916142821311951,,0.9974827170372009,3.004812002182007,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
42,UPU,0.7322866916656494,,0.8989037871360779,2.216343879699707,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
42,USU,0.570525050163269,,0.5599209070205688,0.9438722729682922,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
42,USU,0.79198157787323,,0.8879415392875671,1.2442938089370728,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
42,UVU,1.0,,1.0,2.7069613933563232,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
42,UVU,1.0,,1.0,2.866989850997925,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
42,UPU,0.6836674809455872,,0.8828125,2.1196107864379883,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,640,TP
42,UPU,0.9927124977111816,,0.9979226589202881,3.0071957111358643,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11072,TN
42,UPU,0.7532105445861816,,0.9019607901573181,2.4872984886169434,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,51,FP
42,UPU,0.9041998982429504,,0.9558011293411255,2.5583841800689697,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,181,FN
42,USU,0.8680609464645386,,0.995312511920929,1.3559744358062744,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,640,TP
42,USU,0.5697981119155884,,0.5584356784820557,0.9427626132965088,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11072,TN
42,USU,0.7283328175544739,,0.8823529481887817,1.1847848892211914,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,51,FP
42,USU,0.5229716300964355,,0.5082873106002808,0.8494012951850891,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,181,FN
42,UVU,1.0,,1.0,2.880645751953125,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,640,TP
42,UVU,1.0,,1.0,2.706702709197998,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11072,TN
42,UVU,1.0,,1.0,2.763176918029785,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,51,FP
42,UVU,1.0,,1.0,2.8187034130096436,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,181,FN
123,UPU,0.26492592692375183,0.1790907382965088,0.06296048313379288,0.5554301738739014,-0.4600284993648529,-0.43546491861343384,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
123,USU,0.9277887344360352,0.08939922600984573,0.9952277541160583,2.067462205886841,-0.10032335668802261,-0.08737371116876602,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
123,UVU,1.0,0.0,1.0,2.5887842178344727,0.0,0.0,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
123,UPU,0.22415752708911896,,0.00890047661960125,0.4686698019504547,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
123,UPU,0.8172608613967896,,0.7953714728355408,1.7308694124221802,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
123,USU,0.9271398186683655,,0.9964937567710876,2.0636157989501953,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
123,USU,0.936580240726471,,0.9780755043029785,2.1195716857910156,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
123,UVU,1.0,,1.0,2.5793588161468506,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
123,UVU,1.0,,1.0,2.716484546661377,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
123,UPU,0.9737353920936584,,0.99842768907547,2.063072443008423,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,636,TP
123,UPU,0.22136290371418,,0.004964794963598251,0.46277832984924316,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11078,TN
123,UPU,0.9121358394622803,,0.9777777791023254,1.9190096855163574,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,45,FP
123,UPU,0.27932673692703247,,0.0972972959280014,0.5888097882270813,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,185,FN
123,USU,0.9989228844642639,,1.0,2.258633613586426,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,636,TP
123,USU,0.9268741607666016,,0.9964795112609863,2.0628650188446045,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11078,TN
123,USU,0.9925376772880554,,1.0,2.248450994491577,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,45,FP
123,USU,0.7222564816474915,,0.9027026891708374,1.6414997577667236,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,185,FN
123,UVU,1.0,,1.0,2.7469985485076904,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,636,TP
123,UVU,1.0,,1.0,2.5794260501861572,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11078,TN
123,UVU,1.0,,1.0,2.56272029876709,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,45,FP
123,UVU,1.0,,1.0,2.6115822792053223,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,185,FN
456,UPU,0.9987748265266418,0.009372631087899208,1.0,2.679737091064453,0.13278432190418243,0.1125166118144989,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
456,USU,0.9777944087982178,0.07366909831762314,0.9972370862960815,2.03058123588562,0.14003528654575348,0.12812106311321259,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
456,UVU,1.0,0.0,1.0,2.4663994312286377,0.0,0.0,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
456,UPU,0.9991761445999146,,1.0,2.675328493118286,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
456,UPU,0.9933374524116516,,1.0,2.7394633293151855,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
456,USU,0.9911178946495056,,0.9991908669471741,2.0547423362731934,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
456,USU,0.7972857356071472,,0.9707673788070679,1.7032428979873657,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
456,UVU,1.0,,1.0,2.4415884017944336,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
456,UVU,1.0,,1.0,2.802539110183716,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
456,UPU,0.9932129383087158,,1.0,2.854729175567627,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,644,TP
456,UPU,0.9992823004722595,,1.0,2.6738433837890625,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11072,TN
456,UPU,0.9761120676994324,,1.0,2.997753620147705,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,51,FP
456,UPU,0.9937899112701416,,1.0,2.320078134536743,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,177,FN
456,USU,0.7578627467155457,,0.9642857313156128,1.6138068437576294,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,644,TP
456,USU,0.9923557639122009,,0.9996387362480164,2.0574283599853516,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11072,TN
456,USU,0.7223758101463318,,0.9019607901573181,1.4716644287109375,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,51,FP
456,USU,0.9407231211662292,,0.994350254535675,2.0286481380462646,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,177,FN
456,UVU,1.0,,1.0,2.858288526535034,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,644,TP
456,UVU,1.0,,1.0,2.4407389163970947,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,11072,TN
456,UVU,1.0,,1.0,2.626041889190674,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,51,FP
456,UVU,1.0,,1.0,2.599699020385742,,,base_status,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,177,FN
789,UPU,0.04174908995628357,0.021679764613509178,0.0,0.20972399413585663,-0.058348122984170914,-0.04388018324971199,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
789,USU,0.9330475926399231,0.10907178372144699,0.993804395198822,4.718428134918213,-0.1444268822669983,-0.1264784336090088,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
789,UVU,1.0,0.0,1.0,5.217796802520752,0.0,0.0,relation,amazon,anchor_gate,cover_rel_anchor_gate_nollm,,,
789,UPU,0.04093383252620697,,0.0,0.2056134045124054,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,0,11123,
789,UPU,0.05279431492090225,,0.0,0.2654147744178772,,,label,amazon,anchor_gate,cover_rel_anchor_gate_nollm,1,821,
